problema_id;tecnica_id
P001;T001
P001;T002
P001;T003
P001;T004
P001;T005
P001;T006
P001;T014
P001;T020
P001;T029
P002;T001
P002;T002
P002;T003
P002;T005
P002;T008
P002;T015
P002;T020
P003;T001
P003;T002
P003;T003
P003;T005
P003;T007
P003;T015
P003;T020
P004;T001
P004;T002
P004;T005
P004;T007
P004;T016
P004;T017
P004;T018
P004;T020
P005;T001
P005;T002
P005;T007
P005;T005
P005;T020
P006;T001
P006;T002
P006;T005
P006;T007
P006;T014
P006;T020
P006;T029
P007;T001
P007;T002
P007;T005
P007;T009
P007;T014
P007;T020
P007;T029
P008;T001
P008;T002
P008;T005
P008;T007
P008;T018
P008;T019
P009;T001
P009;T002
P009;T005
P009;T010
P009;T011
P009;T018
P009;T020
P009;T026
P009;T027
P010;T001
P010;T002
P010;T005
P010;T010
P010;T011
P010;T018
P010;T020
P010;T026
P010;T027
P011;T001
P011;T002
P011;T005
P011;T010
P011;T011
P011;T018
P011;T019
P011;T020
P012;T002
P012;T010
P012;T011
P012;T019
P012;T026
P012;T027
P013;T001
P013;T002
P013;T018
P013;T019
P013;T026
P013;T027
P013;T030
P014;T001
P014;T002
P014;T015
P014;T020
P014;T021
P014;T022
P014;T027
P015;T001
P015;T002
P015;T015
P015;T020
P015;T026
P015;T027
P016;T001
P016;T002
P016;T003
P016;T006
P016;T014
P016;T023
P016;T025
P016;T026
P017;T001
P017;T002
P017;T006
P017;T014
P017;T019
P017;T023
P017;T025
P017;T026
P017;T027
P018;T001
P018;T002
P018;T012
P018;T013
P018;T014
P018;T020
P019;T001
P019;T002
P019;T012
P019;T013
P020;T001
P020;T002
P020;T005
P020;T016
P020;T018
P020;T019
P020;T025
P020;T027
P020;T030
P021;T001
P021;T002
P021;T018
P021;T019
P021;T025
P021;T026
P021;T027
P021;T030
P022;T001
P022;T002
P022;T005
P022;T016
P022;T024
P022;T025
P022;T028
P022;T030
P023;T001
P023;T002
P023;T007
P023;T016
P023;T017
P024;T001
P024;T002
P024;T016
P024;T017
P024;T025
P025;T001
P025;T002
P025;T005
P025;T018
P025;T019
P026;T001
P026;T002
P026;T005
P026;T007
P026;T018
P027;T001
P027;T002
P027;T003
P027;T005
P027;T024
P027;T028
P027;T030
P028;T001
P028;T002
P028;T014
P028;T015
P028;T018
P028;T024
P028;T030
P029;T001
P029;T002
P029;T023
P029;T024
P029;T026
P029;T020
P030;T001
P030;T002
P030;T005
P030;T011
P030;T023
P030;T019
P031;T001
P031;T002
P031;T011
P031;T019
P031;T020
P031;T026
P032;T001
P032;T002
P032;T003
P032;T004
P032;T005
P032;T014
P032;T015
