problema_id;tecnica_id
PSP_P001;PSP_T001
PSP_P001;PSP_T002
PSP_P001;PSP_T003
PSP_P001;PSP_T005
PSP_P001;PSP_T006
PSP_P001;PSP_T007
PSP_P001;PSP_T027
PSP_P001;PSP_T029
PSP_P002;PSP_T001
PSP_P002;PSP_T002
PSP_P002;PSP_T003
PSP_P002;PSP_T005
PSP_P002;PSP_T006
PSP_P002;PSP_T007
PSP_P002;PSP_T027
PSP_P002;PSP_T029
PSP_P003;PSP_T001
PSP_P003;PSP_T002
PSP_P003;PSP_T003
PSP_P003;PSP_T005
PSP_P003;PSP_T006
PSP_P003;PSP_T007
PSP_P003;PSP_T027
PSP_P003;PSP_T029
PSP_P004;PSP_T001
PSP_P004;PSP_T002
PSP_P004;PSP_T003
PSP_P004;PSP_T005
PSP_P004;PSP_T006
PSP_P004;PSP_T007
PSP_P004;PSP_T027
PSP_P004;PSP_T029
PSP_P005;PSP_T001
PSP_P005;PSP_T003
PSP_P005;PSP_T005
PSP_P005;PSP_T008
PSP_P005;PSP_T009
PSP_P005;PSP_T021
PSP_P005;PSP_T029
PSP_P006;PSP_T001
PSP_P006;PSP_T003
PSP_P006;PSP_T005
PSP_P006;PSP_T008
PSP_P006;PSP_T009
PSP_P006;PSP_T021
PSP_P006;PSP_T029
PSP_P007;PSP_T001
PSP_P007;PSP_T003
PSP_P007;PSP_T005
PSP_P007;PSP_T008
PSP_P007;PSP_T009
PSP_P007;PSP_T021
PSP_P007;PSP_T029
PSP_P008;PSP_T001
PSP_P008;PSP_T003
PSP_P008;PSP_T005
PSP_P008;PSP_T008
PSP_P008;PSP_T009
PSP_P008;PSP_T021
PSP_P008;PSP_T029
PSP_P009;PSP_T001
PSP_P009;PSP_T003
PSP_P009;PSP_T005
PSP_P009;PSP_T010
PSP_P009;PSP_T011
PSP_P009;PSP_T012
PSP_P009;PSP_T029
PSP_P010;PSP_T001
PSP_P010;PSP_T003
PSP_P010;PSP_T005
PSP_P010;PSP_T010
PSP_P010;PSP_T011
PSP_P010;PSP_T012
PSP_P010;PSP_T029
PSP_P011;PSP_T001
PSP_P011;PSP_T003
PSP_P011;PSP_T005
PSP_P011;PSP_T010
PSP_P011;PSP_T011
PSP_P011;PSP_T012
PSP_P011;PSP_T029
PSP_P012;PSP_T001
PSP_P012;PSP_T003
PSP_P012;PSP_T005
PSP_P012;PSP_T010
PSP_P012;PSP_T011
PSP_P012;PSP_T012
PSP_P012;PSP_T029
PSP_P013;PSP_T001
PSP_P013;PSP_T003
PSP_P013;PSP_T005
PSP_P013;PSP_T010
PSP_P013;PSP_T011
PSP_P013;PSP_T012
PSP_P013;PSP_T029
PSP_P014;PSP_T001
PSP_P014;PSP_T003
PSP_P014;PSP_T005
PSP_P014;PSP_T013
PSP_P014;PSP_T014
PSP_P014;PSP_T015
PSP_P014;PSP_T021
PSP_P014;PSP_T029
PSP_P015;PSP_T001
PSP_P015;PSP_T003
