problema_id;tecnica_id
PSP2_P001;PSP2_T001
PSP2_P001;PSP2_T002
PSP2_P001;PSP2_T003
PSP2_P001;PSP2_T004
PSP2_P001;PSP2_T005
PSP2_P001;PSP2_T006
PSP2_P001;PSP2_T008
PSP2_P001;PSP2_T029
PSP2_P001;PSP2_T030
PSP2_P001;PSP2_T031
PSP2_P001;PSP2_T048
PSP2_P002;PSP2_T001
PSP2_P002;PSP2_T002
PSP2_P002;PSP2_T003
PSP2_P002;PSP2_T004
PSP2_P002;PSP2_T005
PSP2_P002;PSP2_T006
PSP2_P002;PSP2_T008
PSP2_P002;PSP2_T029
PSP2_P002;PSP2_T030
PSP2_P002;PSP2_T031
PSP2_P002;PSP2_T048
PSP2_P003;PSP2_T001
PSP2_P003;PSP2_T002
PSP2_P003;PSP2_T003
PSP2_P003;PSP2_T004
PSP2_P003;PSP2_T005
PSP2_P003;PSP2_T006
PSP2_P003;PSP2_T008
PSP2_P003;PSP2_T029
PSP2_P003;PSP2_T030
PSP2_P003;PSP2_T031
PSP2_P003;PSP2_T048
PSP2_P004;PSP2_T001
PSP2_P004;PSP2_T002
PSP2_P004;PSP2_T003
PSP2_P004;PSP2_T004
PSP2_P004;PSP2_T005
PSP2_P004;PSP2_T006
PSP2_P004;PSP2_T008
PSP2_P004;PSP2_T029
PSP2_P004;PSP2_T030
PSP2_P004;PSP2_T031
PSP2_P004;PSP2_T048
PSP2_P005;PSP2_T001
PSP2_P005;PSP2_T002
PSP2_P005;PSP2_T003
PSP2_P005;PSP2_T004
PSP2_P005;PSP2_T005
PSP2_P005;PSP2_T006
PSP2_P005;PSP2_T008
PSP2_P005;PSP2_T029
PSP2_P005;PSP2_T030
PSP2_P005;PSP2_T031
PSP2_P005;PSP2_T048
PSP2_P006;PSP2_T001
PSP2_P006;PSP2_T002
PSP2_P006;PSP2_T003
PSP2_P006;PSP2_T004
PSP2_P006;PSP2_T005
PSP2_P006;PSP2_T006
PSP2_P006;PSP2_T008
PSP2_P006;PSP2_T029
PSP2_P006;PSP2_T030
PSP2_P006;PSP2_T031
PSP2_P006;PSP2_T048
PSP2_P007;PSP2_T001
PSP2_P007;PSP2_T002
PSP2_P007;PSP2_T003
PSP2_P007;PSP2_T004
