problema_id;tecnica_id
SEX_P001;SEX_T001
SEX_P001;SEX_T002
SEX_P001;SEX_T003
SEX_P001;SEX_T036
SEX_P001;SEX_T043
SEX_P001;SEX_T049
SEX_P001;SEX_T045
SEX_P002;SEX_T001
SEX_P002;SEX_T002
SEX_P002;SEX_T003
SEX_P002;SEX_T036
SEX_P002;SEX_T043
SEX_P002;SEX_T049
SEX_P002;SEX_T045
SEX_P003;SEX_T001
SEX_P003;SEX_T002
SEX_P003;SEX_T003
SEX_P003;SEX_T036
SEX_P003;SEX_T043
SEX_P003;SEX_T049
SEX_P003;SEX_T045
SEX_P004;SEX_T001
SEX_P004;SEX_T002
SEX_P004;SEX_T003
SEX_P004;SEX_T036
SEX_P004;SEX_T043
SEX_P004;SEX_T049
SEX_P004;SEX_T045
SEX_P005;SEX_T001
SEX_P005;SEX_T002
SEX_P005;SEX_T006
SEX_P005;SEX_T007
SEX_P005;SEX_T008
SEX_P005;SEX_T009
SEX_P005;SEX_T024
SEX_P005;SEX_T048
SEX_P005;SEX_T045
SEX_P006;SEX_T001
SEX_P006;SEX_T002
SEX_P006;SEX_T006
SEX_P006;SEX_T007
SEX_P006;SEX_T008
SEX_P006;SEX_T009
SEX_P006;SEX_T024
SEX_P006;SEX_T048
SEX_P006;SEX_T045
SEX_P007;SEX_T001
SEX_P007;SEX_T002
SEX_P007;SEX_T006
SEX_P007;SEX_T007
SEX_P007;SEX_T008
SEX_P007;SEX_T009
SEX_P007;SEX_T024
SEX_P007;SEX_T048
SEX_P007;SEX_T045
SEX_P008;SEX_T001
SEX_P008;SEX_T002
SEX_P008;SEX_T006
SEX_P008;SEX_T007
SEX_P008;SEX_T008
SEX_P008;SEX_T009
SEX_P008;SEX_T024
SEX_P008;SEX_T048
SEX_P008;SEX_T045
SEX_P009;SEX_T001
SEX_P009;SEX_T002
SEX_P009;SEX_T006
SEX_P009;SEX_T007
SEX_P009;SEX_T008
SEX_P009;SEX_T009
SEX_P009;SEX_T024
SEX_P009;SEX_T048
SEX_P009;SEX_T045
SEX_P010;SEX_T002
SEX_P010;SEX_T003
SEX_P010;SEX_T005
SEX_P010;SEX_T006
SEX_P010;SEX_T011
SEX_P010;SEX_T025
SEX_P010;SEX_T026
SEX_P010;SEX_T042
SEX_P010;SEX_T046
SEX_P010;SEX_T050
SEX_P011;SEX_T002
SEX_P011;SEX_T003
SEX_P011;SEX_T005
SEX_P011;SEX_T006
SEX_P011;SEX_T011
SEX_P011;SEX_T025
SEX_P011;SEX_T026
SEX_P011;SEX_T042
SEX_P011;SEX_T046
SEX_P011;SEX_T050
SEX_P012;SEX_T002
SEX_P012;SEX_T003
SEX_P012;SEX_T005
SEX_P012;SEX_T006
SEX_P012;SEX_T011
SEX_P012;SEX_T025
SEX_P012;SEX_T026
SEX_P012;SEX_T042
SEX_P012;SEX_T046
SEX_P012;SEX_T050
SEX_P013;SEX_T002
SEX_P013;SEX_T003
SEX_P013;SEX_T005
SEX_P013;SEX_T006
SEX_P013;SEX_T011
SEX_P013;SEX_T025
SEX_P013;SEX_T026
SEX_P013;SEX_T042
SEX_P013;SEX_T046
SEX_P013;SEX_T050
SEX_P014;SEX_T002
SEX_P014;SEX_T003
SEX_P014;SEX_T005
SEX_P014;SEX_T006
SEX_P014;SEX_T011
SEX_P014;SEX_T025
SEX_P014;SEX_T026
SEX_P014;SEX_T042
SEX_P014;SEX_T046
SEX_P014;SEX_T050
SEX_P015;SEX_T002
SEX_P015;SEX_T006
SEX_P015;SEX_T011
SEX_P015;SEX_T012
SEX_P015;SEX_T026
SEX_P015;SEX_T027
SEX_P015;SEX_T028
SEX_P015;SEX_T045
SEX_P016;SEX_T002
SEX_P016;SEX_T006
SEX_P016;SEX_T011
SEX_P016;SEX_T012
SEX_P016;SEX_T026
SEX_P016;SEX_T027
SEX_P016;SEX_T028
SEX_P016;SEX_T045
SEX_P017;SEX_T002
SEX_P017;SEX_T006
SEX_P017;SEX_T011
SEX_P017;SEX_T012
SEX_P017;SEX_T026
SEX_P017;SEX_T027
SEX_P017;SEX_T028
SEX_P017;SEX_T045
SEX_P018;SEX_T002
SEX_P018;SEX_T006
SEX_P018;SEX_T011
SEX_P018;SEX_T012
SEX_P018;SEX_T026
SEX_P018;SEX_T027
SEX_P018;SEX_T028
SEX_P018;SEX_T045
SEX_P019;SEX_T002
SEX_P019;SEX_T006
SEX_P019;SEX_T011
SEX_P019;SEX_T012
SEX_P019;SEX_T026
SEX_P019;SEX_T027
SEX_P019;SEX_T028
SEX_P019;SEX_T045
SEX_P020;SEX_T003
SEX_P020;SEX_T005
SEX_P020;SEX_T029
SEX_P020;SEX_T030
SEX_P020;SEX_T031
SEX_P020;SEX_T042
SEX_P020;SEX_T046
SEX_P020;SEX_T045
SEX_P021;SEX_T003
SEX_P021;SEX_T005
SEX_P021;SEX_T029
SEX_P021;SEX_T030
SEX_P021;SEX_T031
SEX_P021;SEX_T042
SEX_P021;SEX_T046
SEX_P021;SEX_T045
SEX_P022;SEX_T003
SEX_P022;SEX_T005
SEX_P022;SEX_T029
SEX_P022;SEX_T030
SEX_P022;SEX_T031
SEX_P022;SEX_T042
SEX_P022;SEX_T046
SEX_P022;SEX_T045
SEX_P023;SEX_T003
SEX_P023;SEX_T005
SEX_P023;SEX_T029
SEX_P023;SEX_T030
SEX_P023;SEX_T031
SEX_P023;SEX_T042
SEX_P023;SEX_T046
SEX_P023;SEX_T045
SEX_P024;SEX_T003
SEX_P024;SEX_T005
SEX_P024;SEX_T029
SEX_P024;SEX_T030
SEX_P024;SEX_T031
SEX_P024;SEX_T042
SEX_P024;SEX_T046
SEX_P024;SEX_T045
SEX_P025;SEX_T006
SEX_P025;SEX_T011
SEX_P025;SEX_T013
SEX_P025;SEX_T014
SEX_P025;SEX_T015
SEX_P025;SEX_T026
SEX_P025;SEX_T031
SEX_P025;SEX_T045
SEX_P026;SEX_T006
SEX_P026;SEX_T011
SEX_P026;SEX_T013
SEX_P026;SEX_T014
SEX_P026;SEX_T015
SEX_P026;SEX_T026
SEX_P026;SEX_T031
SEX_P026;SEX_T045
SEX_P027;SEX_T006
SEX_P027;SEX_T011
SEX_P027;SEX_T013
SEX_P027;SEX_T014
SEX_P027;SEX_T015
SEX_P027;SEX_T026
SEX_P027;SEX_T031
SEX_P027;SEX_T045
SEX_P028;SEX_T006
SEX_P028;SEX_T011
SEX_P028;SEX_T013
SEX_P028;SEX_T014
SEX_P028;SEX_T015
SEX_P028;SEX_T026
SEX_P028;SEX_T031
SEX_P028;SEX_T045
SEX_P029;SEX_T006
SEX_P029;SEX_T011
SEX_P029;SEX_T013
SEX_P029;SEX_T014
SEX_P029;SEX_T015
SEX_P029;SEX_T026
SEX_P029;SEX_T031
SEX_P029;SEX_T045
SEX_P030;SEX_T008
SEX_P030;SEX_T009
SEX_P030;SEX_T016
SEX_P030;SEX_T018
SEX_P030;SEX_T022
SEX_P030;SEX_T023
SEX_P030;SEX_T024
SEX_P030;SEX_T052
SEX_P030;SEX_T045
SEX_P031;SEX_T008
SEX_P031;SEX_T009
SEX_P031;SEX_T016
SEX_P031;SEX_T018
SEX_P031;SEX_T022
SEX_P031;SEX_T023
SEX_P031;SEX_T024
SEX_P031;SEX_T052
SEX_P031;SEX_T045
SEX_P032;SEX_T008
SEX_P032;SEX_T009
SEX_P032;SEX_T016
SEX_P032;SEX_T018
SEX_P032;SEX_T022
SEX_P032;SEX_T023
SEX_P032;SEX_T024
SEX_P032;SEX_T052
SEX_P032;SEX_T045
SEX_P033;SEX_T008
SEX_P033;SEX_T009
SEX_P033;SEX_T016
SEX_P033;SEX_T018
SEX_P033;SEX_T022
SEX_P033;SEX_T023
SEX_P033;SEX_T024
SEX_P033;SEX_T052
SEX_P033;SEX_T045
SEX_P034;SEX_T008
SEX_P034;SEX_T009
SEX_P034;SEX_T016
SEX_P034;SEX_T018
SEX_P034;SEX_T022
SEX_P034;SEX_T023
SEX_P034;SEX_T024
SEX_P034;SEX_T052
SEX_P034;SEX_T045
SEX_P035;SEX_T004
SEX_P035;SEX_T017
SEX_P035;SEX_T018
SEX_P035;SEX_T033
SEX_P035;SEX_T036
SEX_P035;SEX_T053
SEX_P035;SEX_T045
SEX_P036;SEX_T004
SEX_P036;SEX_T017
SEX_P036;SEX_T018
SEX_P036;SEX_T033
SEX_P036;SEX_T036
SEX_P036;SEX_T053
SEX_P036;SEX_T045
SEX_P037;SEX_T004
SEX_P037;SEX_T017
SEX_P037;SEX_T018
SEX_P037;SEX_T033
SEX_P037;SEX_T036
SEX_P037;SEX_T053
SEX_P037;SEX_T045
SEX_P038;SEX_T004
SEX_P038;SEX_T017
SEX_P038;SEX_T018
SEX_P038;SEX_T033
SEX_P038;SEX_T036
SEX_P038;SEX_T053
SEX_P038;SEX_T045
SEX_P039;SEX_T001
SEX_P039;SEX_T012
SEX_P039;SEX_T019
SEX_P039;SEX_T036
SEX_P039;SEX_T039
SEX_P039;SEX_T040
SEX_P039;SEX_T048
SEX_P039;SEX_T045
SEX_P040;SEX_T001
SEX_P040;SEX_T012
SEX_P040;SEX_T019
SEX_P040;SEX_T036
SEX_P040;SEX_T039
SEX_P040;SEX_T040
SEX_P040;SEX_T048
SEX_P040;SEX_T045
SEX_P041;SEX_T001
SEX_P041;SEX_T012
SEX_P041;SEX_T019
SEX_P041;SEX_T036
SEX_P041;SEX_T039
SEX_P041;SEX_T040
SEX_P041;SEX_T048
SEX_P041;SEX_T045
SEX_P042;SEX_T001
SEX_P042;SEX_T012
SEX_P042;SEX_T019
SEX_P042;SEX_T036
SEX_P042;SEX_T039
SEX_P042;SEX_T040
SEX_P042;SEX_T048
SEX_P042;SEX_T045
SEX_P043;SEX_T034
SEX_P043;SEX_T035
SEX_P043;SEX_T036
SEX_P043;SEX_T040
SEX_P043;SEX_T048
SEX_P043;SEX_T045
SEX_P044;SEX_T034
SEX_P044;SEX_T035
SEX_P044;SEX_T036
SEX_P044;SEX_T040
SEX_P044;SEX_T048
SEX_P044;SEX_T045
SEX_P045;SEX_T034
SEX_P045;SEX_T035
SEX_P045;SEX_T036
SEX_P045;SEX_T040
SEX_P045;SEX_T048
SEX_P045;SEX_T045
SEX_P046;SEX_T034
SEX_P046;SEX_T035
SEX_P046;SEX_T036
SEX_P046;SEX_T040
SEX_P046;SEX_T048
SEX_P046;SEX_T045
SEX_P047;SEX_T004
SEX_P047;SEX_T031
SEX_P047;SEX_T032
SEX_P047;SEX_T033
SEX_P047;SEX_T046
SEX_P047;SEX_T045
SEX_P048;SEX_T004
SEX_P048;SEX_T031
SEX_P048;SEX_T032
SEX_P048;SEX_T033
SEX_P048;SEX_T046
SEX_P048;SEX_T045
SEX_P049;SEX_T004
SEX_P049;SEX_T031
SEX_P049;SEX_T032
SEX_P049;SEX_T033
SEX_P049;SEX_T046
SEX_P049;SEX_T045
SEX_P050;SEX_T004
SEX_P050;SEX_T031
SEX_P050;SEX_T032
SEX_P050;SEX_T033
SEX_P050;SEX_T046
SEX_P050;SEX_T045
SEX_P051;SEX_T019
SEX_P051;SEX_T020
SEX_P051;SEX_T021
SEX_P051;SEX_T012
SEX_P051;SEX_T048
SEX_P051;SEX_T045
SEX_P052;SEX_T019
SEX_P052;SEX_T020
SEX_P052;SEX_T021
SEX_P052;SEX_T012
SEX_P052;SEX_T048
SEX_P052;SEX_T045
SEX_P053;SEX_T019
SEX_P053;SEX_T020
SEX_P053;SEX_T021
SEX_P053;SEX_T012
SEX_P053;SEX_T048
SEX_P053;SEX_T045
SEX_P054;SEX_T037
SEX_P054;SEX_T038
SEX_P054;SEX_T039
SEX_P054;SEX_T040
SEX_P054;SEX_T045
SEX_P054;SEX_T047
SEX_P055;SEX_T037
SEX_P055;SEX_T038
SEX_P055;SEX_T039
SEX_P055;SEX_T040
SEX_P055;SEX_T045
SEX_P055;SEX_T047
SEX_P056;SEX_T037
SEX_P056;SEX_T038
SEX_P056;SEX_T039
SEX_P056;SEX_T040
SEX_P056;SEX_T045
SEX_P056;SEX_T047
SEX_P057;SEX_T037
SEX_P057;SEX_T038
SEX_P057;SEX_T039
SEX_P057;SEX_T040
SEX_P057;SEX_T045
SEX_P057;SEX_T047
SEX_P058;SEX_T001
SEX_P058;SEX_T041
