problema_id;tecnica_id
TO_P001;TO_T001
TO_P001;TO_T002
TO_P001;TO_T003
TO_P001;TO_T005
TO_P001;TO_T006
TO_P001;TO_T007
TO_P001;TO_T029
TO_P002;TO_T001
TO_P002;TO_T002
TO_P002;TO_T003
TO_P002;TO_T005
TO_P002;TO_T006
TO_P002;TO_T007
TO_P002;TO_T029
TO_P003;TO_T001
TO_P003;TO_T002
TO_P003;TO_T003
TO_P003;TO_T005
TO_P003;TO_T006
TO_P003;TO_T007
TO_P003;TO_T029
TO_P004;TO_T001
TO_P004;TO_T002
TO_P004;TO_T003
TO_P004;TO_T005
TO_P004;TO_T006
TO_P004;TO_T007
TO_P004;TO_T029
TO_P005;TO_T001
TO_P005;TO_T002
TO_P005;TO_T003
TO_P005;TO_T005
TO_P005;TO_T006
TO_P005;TO_T007
TO_P005;TO_T029
TO_P006;TO_T001
TO_P006;TO_T002
TO_P006;TO_T004
TO_P006;TO_T005
TO_P006;TO_T008
TO_P006;TO_T015
TO_P006;TO_T016
TO_P006;TO_T029
TO_P007;TO_T001
TO_P007;TO_T002
TO_P007;TO_T004
TO_P007;TO_T005
TO_P007;TO_T008
TO_P007;TO_T015
TO_P007;TO_T016
TO_P007;TO_T029
TO_P008;TO_T001
TO_P008;TO_T002
TO_P008;TO_T004
TO_P008;TO_T005
TO_P008;TO_T008
TO_P008;TO_T015
TO_P008;TO_T016
TO_P008;TO_T029
TO_P009;TO_T001
TO_P009;TO_T002
TO_P009;TO_T004
TO_P009;TO_T005
TO_P009;TO_T008
TO_P009;TO_T015
TO_P009;TO_T016
TO_P009;TO_T029
TO_P010;TO_T001
TO_P010;TO_T002
TO_P010;TO_T004
TO_P010;TO_T005
TO_P010;TO_T008
TO_P010;TO_T015
TO_P010;TO_T016
TO_P010;TO_T029
TO_P011;TO_T001
TO_P011;TO_T007
TO_P011;TO_T008
TO_P011;TO_T009
TO_P011;TO_T010
TO_P011;TO_T030
TO_P012;TO_T001
TO_P012;TO_T007
TO_P012;TO_T008
TO_P012;TO_T009
TO_P012;TO_T010
TO_P012;TO_T030
TO_P013;TO_T001
TO_P013;TO_T007
TO_P013;TO_T008
TO_P013;TO_T009
TO_P013;TO_T010
TO_P013;TO_T030
TO_P014;TO_T001
TO_P014;TO_T002
TO_P014;TO_T013
TO_P014;TO_T014
TO_P014;TO_T005
TO_P014;TO_T029
TO_P015;TO_T001
TO_P015;TO_T002
TO_P015;TO_T013
TO_P015;TO_T014
TO_P015;TO_T005
TO_P015;TO_T029
TO_P016;TO_T001
TO_P016;TO_T002
TO_P016;TO_T013
TO_P016;TO_T014
TO_P016;TO_T005
TO_P016;TO_T029
TO_P017;TO_T001
TO_P017;TO_T002
TO_P017;TO_T013
TO_P017;TO_T014
TO_P017;TO_T005
TO_P017;TO_T029
TO_P018;TO_T001
TO_P018;TO_T015
TO_P018;TO_T016
TO_P018;TO_T017
TO_P018;TO_T029
TO_P019;TO_T001
TO_P019;TO_T015
TO_P019;TO_T016
TO_P019;TO_T017
TO_P019;TO_T029
TO_P020;TO_T001
TO_P020;TO_T015
TO_P020;TO_T016
TO_P020;TO_T017
TO_P020;TO_T029
TO_P021;TO_T001
TO_P021;TO_T016
TO_P021;TO_T017
TO_P021;TO_T018
TO_P021;TO_T019
TO_P021;TO_T030
TO_P022;TO_T001
TO_P022;TO_T016
TO_P022;TO_T017
TO_P022;TO_T018
TO_P022;TO_T019
TO_P022;TO_T030
TO_P023;TO_T001
TO_P023;TO_T016
TO_P023;TO_T017
TO_P023;TO_T018
TO_P023;TO_T019
